date,price_mean,price_median,price_std,price_min,price_max,transaction_count,year,month,week,day,day_of_week,is_weekend,quarter,price_mean_lag_7d,price_mean_lag_14d,price_mean_lag_30d,price_mean_ma_7d,price_mean_std_7d,price_mean_ma_14d,price_mean_std_14d,price_mean_ma_30d,price_mean_std_30d,price_change_pct,price_change_abs,sentiment_mean,sentiment_std,negative_count,keyword,search_interest,is_anomaly,warning_score,warning_level,future_price_change,future_increase
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,grocery prices,25.9,0,0,None,-0.008750000000000036,0
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,eggs price,26.2,0,0,None,-0.008750000000000036,0
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,milk price,18.4,0,0,None,0.07875000000000032,1
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,food inflation,16.8,0,0,None,0.07875000000000032,1
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.1174999999999997,0.5719,0.0,0,grocery prices,25.8,0,0,None,0.19625000000000004,1
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.1174999999999997,0.5719,0.0,0,eggs price,30.5,0,0,None,0.19625000000000004,1
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.1174999999999997,0.5719,0.0,0,food inflation,21.2,0,0,None,-0.03000000000000025,0
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.1174999999999997,0.5719,0.0,0,milk price,23.6,0,1,Low,-0.03000000000000025,0
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.1487499999999997,0.6588,0.0,0,eggs price,33.1,0,1,Low,-0.17874999999999996,0
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.1487499999999997,0.6588,0.0,0,grocery prices,31.4,0,1,Low,-0.17874999999999996,0
