date,price_mean,price_median,price_std,price_min,price_max,transaction_count,year,month,week,day,day_of_week,is_weekend,quarter,price_mean_lag_7d,price_mean_lag_14d,price_mean_lag_30d,price_mean_ma_7d,price_mean_std_7d,price_mean_ma_14d,price_mean_std_14d,price_mean_ma_30d,price_mean_std_30d,price_change_pct,price_change_abs,sentiment_mean,sentiment_std,negative_count,keyword,search_interest
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,grocery prices,25.9
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,eggs price,26.2
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,milk price,18.4
2023-01-01,6.14,6.470000000000001,2.508756094732436,2.08,9.62,8,2023,1,52,1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0,food inflation,16.8
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.11749999999999972,0.5719,0.0,0,grocery prices,25.8
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.11749999999999972,0.5719,0.0,0,eggs price,30.5
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.11749999999999972,0.5719,0.0,0,food inflation,21.2
2023-01-02,6.0225,6.215,2.428848933725015,2.03,9.19,8,2023,1,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.913680781758953,-0.11749999999999972,0.5719,0.0,0,milk price,23.6
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.14874999999999972,0.6588,0.0,0,eggs price,33.1
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.14874999999999972,0.6588,0.0,0,grocery prices,31.4
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.14874999999999972,0.6588,0.0,0,milk price,14.2
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.14874999999999972,0.6588,0.0,0,food inflation,17.9
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.040000000000000036,0.4404,0.0,0,milk price,16.5
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.040000000000000036,0.4404,0.0,0,eggs price,35.7
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.040000000000000036,0.4404,0.0,0,grocery prices,26.3
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.040000000000000036,0.4404,0.0,0,food inflation,20.9
2023-01-05,6.21875,6.52,2.4073603653320017,2.19,9.59,8,2023,1,1,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4271151885830946,0.08750000000000036,0.4404,0.0,0,eggs price,22.8
2023-01-05,6.21875,6.52,2.4073603653320017,2.19,9.59,8,2023,1,1,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4271151885830946,0.08750000000000036,0.4404,0.0,0,milk price,28.4
2023-01-05,6.21875,6.52,2.4073603653320017,2.19,9.59,8,2023,1,1,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4271151885830946,0.08750000000000036,0.4404,0.0,0,food inflation,19.9
2023-01-05,6.21875,6.52,2.4073603653320017,2.19,9.59,8,2023,1,1,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4271151885830946,0.08750000000000036,0.4404,0.0,0,grocery prices,28.3
2023-01-06,5.9925,6.515000000000001,2.4089698450345356,2.2,9.38,8,2023,1,1,6,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.638190954773879,-0.22625000000000028,0.5719,0.0,0,food inflation,24.3
2023-01-06,5.9925,6.515000000000001,2.4089698450345356,2.2,9.38,8,2023,1,1,6,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.638190954773879,-0.22625000000000028,0.5719,0.0,0,eggs price,29.6
2023-01-06,5.9925,6.515000000000001,2.4089698450345356,2.2,9.38,8,2023,1,1,6,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.638190954773879,-0.22625000000000028,0.5719,0.0,0,grocery prices,23.7
2023-01-06,5.9925,6.515000000000001,2.4089698450345356,2.2,9.38,8,2023,1,1,6,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.638190954773879,-0.22625000000000028,0.5719,0.0,0,milk price,14.2
2023-01-07,6.05,6.279999999999999,2.2217817817495678,2.58,9.33,8,2023,1,1,7,5,1,1,0.0,0.0,0.0,6.10375,0.08338540040078975,0.0,0.0,0.0,0.0,0.9595327492699202,0.05750000000000011,0.6588,0.0,0,food inflation,21.0
2023-01-07,6.05,6.279999999999999,2.2217817817495678,2.58,9.33,8,2023,1,1,7,5,1,1,0.0,0.0,0.0,6.10375,0.08338540040078975,0.0,0.0,0.0,0.0,0.9595327492699202,0.05750000000000011,0.6588,0.0,0,eggs price,37.1
2023-01-07,6.05,6.279999999999999,2.2217817817495678,2.58,9.33,8,2023,1,1,7,5,1,1,0.0,0.0,0.0,6.10375,0.08338540040078975,0.0,0.0,0.0,0.0,0.9595327492699202,0.05750000000000011,0.6588,0.0,0,grocery prices,19.2
2023-01-07,6.05,6.279999999999999,2.2217817817495678,2.58,9.33,8,2023,1,1,7,5,1,1,0.0,0.0,0.0,6.10375,0.08338540040078975,0.0,0.0,0.0,0.0,0.9595327492699202,0.05750000000000011,0.6588,0.0,0,milk price,21.9
2023-01-08,6.13,6.3149999999999995,2.3544850817110734,2.51,9.67,8,2023,1,1,8,6,1,1,6.14,0.0,0.0,6.102321428571428,0.0827440474049488,0.0,0.0,0.0,0.0,1.3223140495867813,0.08000000000000007,0.6588,0.0,0,food inflation,15.2
2023-01-08,6.13,6.3149999999999995,2.3544850817110734,2.51,9.67,8,2023,1,1,8,6,1,1,6.14,0.0,0.0,6.102321428571428,0.0827440474049488,0.0,0.0,0.0,0.0,1.3223140495867813,0.08000000000000007,0.6588,0.0,0,eggs price,29.1
2023-01-08,6.13,6.3149999999999995,2.3544850817110734,2.51,9.67,8,2023,1,1,8,6,1,1,6.14,0.0,0.0,6.102321428571428,0.0827440474049488,0.0,0.0,0.0,0.0,1.3223140495867813,0.08000000000000007,0.6588,0.0,0,grocery prices,21.4
2023-01-08,6.13,6.3149999999999995,2.3544850817110734,2.51,9.67,8,2023,1,1,8,6,1,1,6.14,0.0,0.0,6.102321428571428,0.0827440474049488,0.0,0.0,0.0,0.0,1.3223140495867813,0.08000000000000007,0.6588,0.0,0,milk price,23.7
2023-01-09,6.155,6.27,2.1966207813691594,3.03,9.34,8,2023,1,2,9,0,0,1,6.0225,0.0,0.0,6.121249999999999,0.0763489794736425,0.0,0.0,0.0,0.0,0.4078303425774976,0.025000000000000355,0.4404,0.0,0,food inflation,23.2
2023-01-09,6.155,6.27,2.1966207813691594,3.03,9.34,8,2023,1,2,9,0,0,1,6.0225,0.0,0.0,6.121249999999999,0.0763489794736425,0.0,0.0,0.0,0.0,0.4078303425774976,0.025000000000000355,0.4404,0.0,0,eggs price,30.9
2023-01-09,6.155,6.27,2.1966207813691594,3.03,9.34,8,2023,1,2,9,0,0,1,6.0225,0.0,0.0,6.121249999999999,0.0763489794736425,0.0,0.0,0.0,0.0,0.4078303425774976,0.025000000000000355,0.4404,0.0,0,milk price,23.9
2023-01-09,6.155,6.27,2.1966207813691594,3.03,9.34,8,2023,1,2,9,0,0,1,6.0225,0.0,0.0,6.121249999999999,0.0763489794736425,0.0,0.0,0.0,0.0,0.4078303425774976,0.025000000000000355,0.4404,0.0,0,grocery prices,30.5
2023-01-10,6.385,6.695,2.4179743588384057,2.26,9.59,8,2023,1,2,10,1,0,1,6.17125,0.0,0.0,6.151785714285714,0.12616923394884358,0.0,0.0,0.0,0.0,3.7367993501218555,0.22999999999999954,0.5106,0.0,0,eggs price,35.4
2023-01-10,6.385,6.695,2.4179743588384057,2.26,9.59,8,2023,1,2,10,1,0,1,6.17125,0.0,0.0,6.151785714285714,0.12616923394884358,0.0,0.0,0.0,0.0,3.7367993501218555,0.22999999999999954,0.5106,0.0,0,milk price,15.2
2023-01-10,6.385,6.695,2.4179743588384057,2.26,9.59,8,2023,1,2,10,1,0,1,6.17125,0.0,0.0,6.151785714285714,0.12616923394884358,0.0,0.0,0.0,0.0,3.7367993501218555,0.22999999999999954,0.5106,0.0,0,food inflation,28.4
2023-01-10,6.385,6.695,2.4179743588384057,2.26,9.59,8,2023,1,2,10,1,0,1,6.17125,0.0,0.0,6.151785714285714,0.12616923394884358,0.0,0.0,0.0,0.0,3.7367993501218555,0.22999999999999954,0.5106,0.0,0,grocery prices,39.7
2023-01-11,5.96875,5.98,2.2720377103258778,2.42,9.13,8,2023,1,2,11,2,0,1,6.13125,0.0,0.0,6.128571428571429,0.14423365839597105,0.0,0.0,0.0,0.0,-6.519185591229437,-0.4162499999999998,0.6588,0.0,0,eggs price,26.9
2023-01-11,5.96875,5.98,2.2720377103258778,2.42,9.13,8,2023,1,2,11,2,0,1,6.13125,0.0,0.0,6.128571428571429,0.14423365839597105,0.0,0.0,0.0,0.0,-6.519185591229437,-0.4162499999999998,0.6588,0.0,0,grocery prices,34.8
2023-01-11,5.96875,5.98,2.2720377103258778,2.42,9.13,8,2023,1,2,11,2,0,1,6.13125,0.0,0.0,6.128571428571429,0.14423365839597105,0.0,0.0,0.0,0.0,-6.519185591229437,-0.4162499999999998,0.6588,0.0,0,food inflation,21.8
2023-01-11,5.96875,5.98,2.2720377103258778,2.42,9.13,8,2023,1,2,11,2,0,1,6.13125,0.0,0.0,6.128571428571429,0.14423365839597105,0.0,0.0,0.0,0.0,-6.519185591229437,-0.4162499999999998,0.6588,0.0,0,milk price,17.9
2023-01-12,6.26,6.73,2.2688511882196494,2.29,9.24,8,2023,1,2,12,3,0,1,6.21875,0.0,0.0,6.134464285714286,0.1492862482902272,0.0,0.0,0.0,0.0,4.879581151832446,0.2912499999999998,0.5106,0.0,0,food inflation,19.6
2023-01-12,6.26,6.73,2.2688511882196494,2.29,9.24,8,2023,1,2,12,3,0,1,6.21875,0.0,0.0,6.134464285714286,0.1492862482902272,0.0,0.0,0.0,0.0,4.879581151832446,0.2912499999999998,0.5106,0.0,0,grocery prices,30.9
