date,price_mean,price_median,price_std,price_min,price_max,transaction_count,year,month,week,day,day_of_week,is_weekend,quarter,price_mean_lag_7d,price_mean_lag_14d,price_mean_lag_30d,price_mean_ma_7d,price_mean_std_7d,price_mean_ma_14d,price_mean_std_14d,price_mean_ma_30d,price_mean_std_30d,price_change_pct,price_change_abs,sentiment_mean,sentiment_std,negative_count,keyword,search_interest,price_diff,diff_lag_1,diff_lag_2,diff_lag_3,diff_lag_7,last_price,roll_std_7,dow
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.1487499999999997,0.6588,0.0,0,food inflation,17.9,0.14874999999999972,0.0,0.0,0.0,0.0,6.0225,0.04441082557858409,1
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.1487499999999997,0.6588,0.0,0,milk price,14.2,0.0,0.14874999999999972,0.0,0.0,0.0,6.17125,0.07723697686495808,1
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.1487499999999997,0.6588,0.0,0,eggs price,33.1,0.0,0.0,0.14874999999999972,0.0,0.0,6.17125,0.07723697686495808,1
2023-01-03,6.17125,6.375,2.3620356686553228,2.4,9.45,8,2023,1,1,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699045246990403,0.1487499999999997,0.6588,0.0,0,grocery prices,31.4,0.0,0.0,0.0,0.14874999999999972,-0.11749999999999972,6.17125,0.07723697686495808,1
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.04,0.4404,0.0,0,milk price,16.5,-0.040000000000000036,0.0,0.0,0.0,0.0,6.17125,0.05622221536012244,2
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.04,0.4404,0.0,0,eggs price,35.7,0.0,-0.040000000000000036,0.0,0.0,0.0,6.13125,0.060603978927994066,2
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.04,0.4404,0.0,0,grocery prices,26.3,0.0,0.0,-0.040000000000000036,0.0,0.0,6.13125,0.060603978927994066,2
2023-01-04,6.13125,6.484999999999999,2.2964658406218144,2.71,9.43,8,2023,1,1,4,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6481669029775206,-0.04,0.4404,0.0,0,food inflation,20.9,0.0,0.0,0.0,-0.040000000000000036,0.14874999999999972,6.13125,0.060603978927994066,2
2023-01-05,6.21875,6.52,2.4073603653320017,2.19,9.59,8,2023,1,1,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4271151885830946,0.0875000000000003,0.4404,0.0,0,grocery prices,28.3,0.08750000000000036,0.0,0.0,0.0,0.0,6.13125,0.015118578920369065,3
2023-01-05,6.21875,6.52,2.4073603653320017,2.19,9.59,8,2023,1,1,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4271151885830946,0.0875000000000003,0.4404,0.0,0,eggs price,22.8,0.0,0.08750000000000036,0.0,0.0,0.0,6.21875,0.038587408506378144,3
